farmer_id,district,nr,yield_t_ha,area_ha,confidence,est_production_t
ZW-GOR-0075,Goromonzi,NR II,3.23,2.20,0.93,7.11
ZW-GOR-0076,Goromonzi,NR II,4.05,1.95,0.86,7.90
ZW-GOR-0077,Goromonzi,NR II,3.47,1.69,0.79,5.86
ZW-GOR-0078,Goromonzi,NR II,2.89,1.43,0.94,4.13
ZW-GOR-0079,Goromonzi,NR II,3.71,2.17,0.87,8.05
ZW-GOR-0080,Goromonzi,NR II,3.13,1.91,0.80,5.98
ZW-GOR-0081,Goromonzi,NR II,3.96,1.65,0.96,6.53
ZW-GOR-0082,Goromonzi,NR II,3.38,1.40,0.89,4.73
ZW-GOR-0083,Goromonzi,NR II,2.80,2.14,0.82,5.99
ZW-GOR-0084,Goromonzi,NR II,3.62,1.88,0.97,6.81
ZW-GOR-0085,Goromonzi,NR II,3.04,1.62,0.90,4.92
ZW-GOR-0086,Goromonzi,NR II,3.86,1.36,0.83,5.25
ZW-GOR-0087,Goromonzi,NR II,3.28,2.11,0.98,6.92
ZW-GOR-0088,Goromonzi,NR II,2.70,1.85,0.91,5.00
ZW-GOR-0089,Goromonzi,NR II,3.52,1.59,0.84,5.60
ZW-GOR-0090,Goromonzi,NR II,2.94,1.33,0.77,3.91
ZW-GOR-0091,Goromonzi,NR II,3.76,2.07,0.92,7.78
ZW-GOR-0092,Goromonzi,NR II,3.18,1.82,0.85,5.79
ZW-GOR-0093,Goromonzi,NR II,4.00,1.56,0.78,6.24
ZW-GOR-0094,Goromonzi,NR II,3.42,1.30,0.93,4.45
ZW-GOR-0095,Goromonzi,NR II,2.84,2.04,0.86,5.79
ZW-GOR-0096,Goromonzi,NR II,3.67,1.78,0.79,6.53
ZW-GOR-0097,Goromonzi,NR II,3.09,1.53,0.94,4.73
ZW-GOR-0098,Goromonzi,NR II,3.91,2.27,0.87,8.88
ZW-GOR-0099,Goromonzi,NR II,3.33,2.01,0.80,6.69
ZW-GOR-0100,Goromonzi,NR II,2.75,1.75,0.96,4.81
ZW-GOR-0101,Goromonzi,NR II,3.57,1.49,0.89,5.32
ZW-GOR-0102,Goromonzi,NR II,2.99,2.24,0.82,6.70
ZW-GOR-0103,Goromonzi,NR II,3.81,1.98,0.97,7.54
ZW-GOR-0104,Goromonzi,NR II,3.23,1.72,0.90,5.56
ZW-GOR-0105,Goromonzi,NR II,4.05,1.46,0.83,5.91
ZW-GOR-0106,Goromonzi,NR II,3.47,2.20,0.98,7.63
ZW-GOR-0107,Goromonzi,NR II,2.89,1.95,0.91,5.64
ZW-GOR-0108,Goromonzi,NR II,3.71,1.69,0.84,6.27
ZW-GOR-0109,Goromonzi,NR II,3.13,1.43,0.77,4.48
ZW-GOR-0110,Goromonzi,NR II,3.96,2.17,0.92,8.59
ZW-GOR-0111,Goromonzi,NR II,3.38,1.91,0.85,6.46
ZW-GOR-0112,Goromonzi,NR II,2.80,1.65,0.78,4.62
ZW-GOR-0113,Goromonzi,NR II,3.62,1.40,0.93,5.07
ZW-GOR-0114,Goromonzi,NR II,3.04,2.14,0.86,6.51
ZW-GOR-0115,Goromonzi,NR II,3.86,1.88,0.79,7.26
ZW-MAZ-0116,Mazowe,NR II,3.34,2.13,0.93,7.11
ZW-MAZ-0117,Mazowe,NR II,4.17,2.87,0.86,11.97
ZW-MAZ-0118,Mazowe,NR II,3.59,2.61,0.98,9.37
ZW-MAZ-0119,Mazowe,NR II,4.41,2.35,0.94,10.36
ZW-MAZ-0120,Mazowe,NR II,3.83,2.09,0.87,8.00
ZW-MAZ-0121,Mazowe,NR II,3.25,2.84,0.80,9.23
ZW-MAZ-0122,Mazowe,NR II,4.07,2.58,0.95,10.50
ZW-MAZ-0123,Mazowe,NR II,3.49,2.32,0.88,8.10
ZW-MAZ-0124,Mazowe,NR II,4.31,2.06,0.81,8.88
ZW-MAZ-0125,Mazowe,NR II,3.73,2.80,0.96,10.44
ZW-MAZ-0126,Mazowe,NR II,4.55,2.55,0.89,11.60
ZW-MAZ-0127,Mazowe,NR II,3.97,2.29,0.82,9.09
ZW-MAZ-0128,Mazowe,NR II,3.39,2.03,0.97,6.88
ZW-MAZ-0129,Mazowe,NR II,4.21,2.77,0.90,11.66
ZW-MAZ-0130,Mazowe,NR II,3.63,2.51,0.83,9.11
ZW-MAZ-0131,Mazowe,NR II,4.46,2.25,0.98,10.04
ZW-MAZ-0132,Mazowe,NR II,3.88,2.00,0.92,7.76
ZW-MAZ-0133,Mazowe,NR II,3.30,2.74,0.85,9.04
ZW-MAZ-0134,Mazowe,NR II,4.12,2.48,0.98,10.22
ZW-MAZ-0135,Mazowe,NR II,3.54,2.22,0.93,7.86
ZW-MAZ-0136,Mazowe,NR II,4.36,1.96,0.86,8.55
ZW-MAZ-0137,Mazowe,NR II,3.78,2.71,0.98,10.24
ZW-MAZ-0138,Mazowe,NR II,3.20,2.45,0.94,7.84
ZW-MAZ-0139,Mazowe,NR II,4.02,2.19,0.87,8.80
ZW-MAZ-0140,Mazowe,NR II,3.44,1.93,0.80,6.64
ZW-MAZ-0141,Mazowe,NR II,4.26,2.67,0.95,11.37
ZW-MAZ-0142,Mazowe,NR II,3.68,2.42,0.88,8.91
ZW-MAZ-0143,Mazowe,NR II,4.50,2.16,0.81,9.72
ZW-MAZ-0144,Mazowe,NR II,3.92,1.90,0.96,7.45
ZW-MAZ-0145,Mazowe,NR II,3.34,2.64,0.89,8.82
ZW-MAZ-0146,Mazowe,NR II,4.17,2.38,0.82,9.92
ZW-MAZ-0147,Mazowe,NR II,3.59,2.13,0.97,7.65
ZW-MAZ-0148,Mazowe,NR II,4.41,2.87,0.90,12.66
ZW-MAZ-0149,Mazowe,NR II,3.83,2.61,0.83,10.00
ZW-MAZ-0150,Mazowe,NR II,3.25,2.35,0.98,7.64
ZW-MAZ-0151,Mazowe,NR II,4.07,2.09,0.92,8.51
ZW-MAZ-0152,Mazowe,NR II,3.49,2.84,0.85,9.91
ZW-MAZ-0153,Mazowe,NR II,4.31,2.58,0.98,11.12
ZW-MAZ-0154,Mazowe,NR II,3.73,2.32,0.93,8.65
ZW-MAZ-0155,Mazowe,NR II,4.55,2.06,0.86,9.37
ZW-MAZ-0156,Mazowe,NR II,3.97,2.80,0.98,11.12
ZW-MAZ-0157,Mazowe,NR II,3.39,2.55,0.94,8.64
ZW-MAZ-0158,Mazowe,NR II,4.21,2.29,0.87,9.64
ZW-MAZ-0159,Mazowe,NR II,3.63,2.03,0.80,7.37
ZW-MAZ-0160,Mazowe,NR II,4.46,2.77,0.95,12.35
ZW-ZAK-0161,Zaka,NR IV,1.04,1.63,0.76,1.70
ZW-ZAK-0162,Zaka,NR IV,1.87,2.37,0.69,4.43
ZW-ZAK-0163,Zaka,NR IV,1.29,2.11,0.84,2.72
ZW-ZAK-0164,Zaka,NR IV,2.11,1.85,0.77,3.90
ZW-ZAK-0165,Zaka,NR IV,1.53,1.59,0.70,2.43
ZW-ZAK-0166,Zaka,NR IV,0.95,2.34,0.63,2.22
ZW-ZAK-0167,Zaka,NR IV,1.77,2.08,0.78,3.68
ZW-ZAK-0168,Zaka,NR IV,1.19,1.82,0.71,2.17
ZW-ZAK-0169,Zaka,NR IV,2.01,1.56,0.64,3.14
ZW-ZAK-0170,Zaka,NR IV,1.43,2.30,0.79,3.29
ZW-ZAK-0171,Zaka,NR IV,2.25,2.05,0.72,4.61
ZW-ZAK-0172,Zaka,NR IV,1.67,1.79,0.65,2.99
ZW-ZAK-0173,Zaka,NR IV,1.09,1.53,0.80,1.67
ZW-ZAK-0174,Zaka,NR IV,1.91,2.27,0.73,4.34
ZW-ZAK-0175,Zaka,NR IV,1.33,2.01,0.66,2.67
ZW-ZAK-0176,Zaka,NR IV,2.16,1.75,0.82,3.78
ZW-ZAK-0177,Zaka,NR IV,1.58,1.50,0.75,2.37
ZW-ZAK-0178,Zaka,NR IV,1.00,2.24,0.68,2.24
ZW-ZAK-0179,Zaka,NR IV,1.82,1.98,0.83,3.60
ZW-ZAK-0180,Zaka,NR IV,1.24,1.72,0.76,2.13
ZW-ZAK-0181,Zaka,NR IV,2.06,1.46,0.69,3.01
ZW-ZAK-0182,Zaka,NR IV,1.48,2.21,0.84,3.27
ZW-ZAK-0183,Zaka,NR IV,0.90,1.95,0.77,1.75
ZW-ZAK-0184,Zaka,NR IV,1.72,1.69,0.70,2.91
ZW-ZAK-0185,Zaka,NR IV,1.14,1.43,0.63,1.63
ZW-ZAK-0186,Zaka,NR IV,1.96,2.17,0.78,4.25
ZW-ZAK-0187,Zaka,NR IV,1.38,1.92,0.71,2.65
ZW-ZAK-0188,Zaka,NR IV,2.20,1.66,0.64,3.65
ZW-ZAK-0189,Zaka,NR IV,1.62,1.40,0.79,2.27
ZW-ZAK-0190,Zaka,NR IV,1.04,2.14,0.72,2.23
ZW-ZAK-0191,Zaka,NR IV,1.87,1.88,0.65,3.52
ZW-ZAK-0192,Zaka,NR IV,1.29,1.63,0.80,2.10
ZW-ZAK-0193,Zaka,NR IV,2.11,2.37,0.73,5.00
ZW-ZAK-0194,Zaka,NR IV,1.53,2.11,0.66,3.23
ZW-ZAK-0195,Zaka,NR IV,0.95,1.85,0.82,1.76
ZW-ZAK-0196,Zaka,NR IV,1.77,1.59,0.75,2.81
ZW-ZAK-0197,Zaka,NR IV,1.19,2.34,0.68,2.78
ZW-ZAK-0198,Zaka,NR IV,2.01,2.08,0.83,4.18
ZW-ZAK-0199,Zaka,NR IV,1.43,1.82,0.76,2.60
ZW-ZAK-0200,Zaka,NR IV,2.25,1.56,0.69,3.51
ZW-ZAK-0201,Zaka,NR IV,1.67,2.30,0.84,3.84
ZW-ZAK-0202,Zaka,NR IV,1.09,2.05,0.77,2.23
ZW-ZAK-0203,Zaka,NR IV,1.91,1.79,0.70,3.42
ZW-ZAK-0204,Zaka,NR IV,1.33,1.53,0.63,2.03
ZW-ZAK-0205,Zaka,NR IV,2.16,2.27,0.78,4.90
ZW-ZAK-0206,Zaka,NR IV,1.58,2.01,0.71,3.18
ZW-ZAK-0207,Zaka,NR IV,1.00,1.75,0.64,1.75
ZW-ZAK-0208,Zaka,NR IV,1.82,1.50,0.79,2.73
ZW-ZAK-0209,Zaka,NR IV,1.24,2.24,0.72,2.78
ZW-ZAK-0210,Zaka,NR IV,2.06,1.98,0.65,4.08
ZW-ZAK-0211,Zaka,NR IV,1.48,1.72,0.80,2.55
ZW-ZAK-0212,Zaka,NR IV,0.90,1.46,0.73,1.31
ZW-ZAK-0213,Zaka,NR IV,1.72,2.21,0.66,3.80
ZW-ZAK-0214,Zaka,NR IV,1.14,1.95,0.82,2.22
ZW-ZAK-0215,Zaka,NR IV,1.96,1.69,0.75,3.31
ZW-UMG-0216,Umguza,NR IV,1.24,1.93,0.79,2.39
ZW-UMG-0217,Umguza,NR IV,2.07,2.67,0.72,5.53
ZW-UMG-0218,Umguza,NR IV,1.49,2.41,0.87,3.59
ZW-UMG-0219,Umguza,NR IV,2.31,2.15,0.80,4.97
ZW-UMG-0220,Umguza,NR IV,1.73,1.89,0.73,3.27
ZW-UMG-0221,Umguza,NR IV,1.15,2.64,0.66,3.04
ZW-UMG-0222,Umguza,NR IV,1.97,2.38,0.81,4.69
ZW-UMG-0223,Umguza,NR IV,1.39,2.12,0.74,2.95
ZW-UMG-0224,Umguza,NR IV,2.21,1.86,0.67,4.11
ZW-UMG-0225,Umguza,NR IV,1.63,2.60,0.82,4.24
ZW-UMG-0226,Umguza,NR IV,2.45,2.35,0.75,5.76
ZW-UMG-0227,Umguza,NR IV,1.87,2.09,0.68,3.91
ZW-UMG-0228,Umguza,NR IV,1.29,1.83,0.83,2.36
ZW-UMG-0229,Umguza,NR IV,2.11,2.57,0.76,5.42
ZW-UMG-0230,Umguza,NR IV,1.53,2.31,0.69,3.53
ZW-UMG-0231,Umguza,NR IV,2.36,2.05,0.85,4.84
ZW-UMG-0232,Umguza,NR IV,1.78,1.80,0.78,3.20
ZW-UMG-0233,Umguza,NR IV,1.20,2.54,0.71,3.05
ZW-UMG-0234,Umguza,NR IV,2.02,2.28,0.86,4.61
ZW-UMG-0235,Umguza,NR IV,1.44,2.02,0.79,2.91
ZW-UMG-0236,Umguza,NR IV,2.26,1.76,0.72,3.98
ZW-UMG-0237,Umguza,NR IV,1.68,2.51,0.87,4.22
ZW-UMG-0238,Umguza,NR IV,1.10,2.25,0.80,2.48
ZW-UMG-0239,Umguza,NR IV,1.92,1.99,0.73,3.82
ZW-UMG-0240,Umguza,NR IV,1.34,1.73,0.66,2.32
ZW-UMG-0241,Umguza,NR IV,2.16,2.47,0.81,5.34
ZW-UMG-0242,Umguza,NR IV,1.58,2.22,0.74,3.51
ZW-UMG-0243,Umguza,NR IV,2.40,1.96,0.67,4.70
ZW-UMG-0244,Umguza,NR IV,1.82,1.70,0.82,3.09
ZW-UMG-0245,Umguza,NR IV,1.24,2.44,0.75,3.03
ZW-UMG-0246,Umguza,NR IV,2.07,2.18,0.68,4.51
ZW-UMG-0247,Umguza,NR IV,1.49,1.93,0.83,2.88
ZW-UMG-0248,Umguza,NR IV,2.31,2.67,0.76,6.17
ZW-UMG-0249,Umguza,NR IV,1.73,2.41,0.69,4.17
ZW-UMG-0250,Umguza,NR IV,1.15,2.15,0.85,2.47
ZW-UMG-0251,Umguza,NR IV,1.97,1.89,0.78,3.72
ZW-UMG-0252,Umguza,NR IV,1.39,2.64,0.71,3.67
ZW-UMG-0253,Umguza,NR IV,2.21,2.38,0.86,5.26
ZW-UMG-0254,Umguza,NR IV,1.63,2.12,0.79,3.46
ZW-UMG-0255,Umguza,NR IV,2.45,1.86,0.72,4.56
ZW-BUH-0256,Buhera,NR IV,0.84,1.23,0.71,1.03
ZW-BUH-0257,Buhera,NR IV,1.67,1.97,0.64,3.29
ZW-BUH-0258,Buhera,NR IV,1.09,1.71,0.79,1.86
ZW-BUH-0259,Buhera,NR IV,1.91,1.45,0.72,2.77
ZW-BUH-0260,Buhera,NR IV,1.33,1.19,0.65,1.58
ZW-BUH-0261,Buhera,NR IV,0.75,1.94,0.58,1.46
ZW-BUH-0262,Buhera,NR IV,1.57,1.68,0.73,2.64
ZW-BUH-0263,Buhera,NR IV,0.99,1.42,0.66,1.41
ZW-BUH-0264,Buhera,NR IV,1.81,1.16,0.59,2.10
ZW-BUH-0265,Buhera,NR IV,1.23,1.90,0.74,2.34
ZW-BUH-0266,Buhera,NR IV,2.05,1.65,0.67,3.38
ZW-BUH-0267,Buhera,NR IV,1.47,1.39,0.60,2.04
ZW-BUH-0268,Buhera,NR IV,0.89,1.13,0.75,1.01
ZW-BUH-0269,Buhera,NR IV,1.71,1.87,0.68,3.20
ZW-BUH-0270,Buhera,NR IV,1.13,1.61,0.61,1.82
ZW-BUH-0271,Buhera,NR IV,1.96,1.35,0.77,2.65
ZW-BUH-0272,Buhera,NR IV,1.38,1.10,0.70,1.52
ZW-BUH-0273,Buhera,NR IV,0.80,1.84,0.63,1.47
ZW-BUH-0274,Buhera,NR IV,1.62,1.58,0.78,2.56
ZW-BUH-0275,Buhera,NR IV,1.04,1.32,0.71,1.37
ZW-BUH-0276,Buhera,NR IV,1.86,1.06,0.64,1.97
ZW-BUH-0277,Buhera,NR IV,1.28,1.81,0.79,2.32
ZW-BUH-0278,Buhera,NR IV,0.70,1.55,0.72,1.08
ZW-BUH-0279,Buhera,NR IV,1.52,1.29,0.65,1.96
ZW-BUH-0280,Buhera,NR IV,0.94,1.03,0.58,0.97
ZW-BUH-0281,Buhera,NR IV,1.76,1.77,0.73,3.12
ZW-BUH-0282,Buhera,NR IV,1.18,1.52,0.66,1.79
ZW-BUH-0283,Buhera,NR IV,2.00,1.26,0.59,2.52
ZW-BUH-0284,Buhera,NR IV,1.42,1.00,0.74,1.42
ZW-BUH-0285,Buhera,NR IV,0.84,1.74,0.67,1.46
ZW-BUH-0286,Buhera,NR IV,1.67,1.48,0.60,2.47
ZW-BUH-0287,Buhera,NR IV,1.09,1.23,0.75,1.34
ZW-BUH-0288,Buhera,NR IV,1.91,1.97,0.68,3.76
ZW-BUH-0289,Buhera,NR IV,1.33,1.71,0.61,2.27
ZW-BUH-0290,Buhera,NR IV,0.75,1.45,0.77,1.09
